features,labels
"The congressional committee probing the Benghazi attacks has formally requested that Hillary Clinton appear for an interview on her use of a personal email and server for official business while secretary of state, after learning the server had been wiped ""clean.""Committee Chairman Rep. Trey Gowdy, R-S.C., made the request in a letter sent Tuesday to Clinton's lawyer.Gowdy said Friday that Clinton, the presumptive Democratic front-runner in the 2016 presidential race, has yet to adequately respond to the subpoena request for the server.“This committee is left with no alternative but to request Secretary Clinton appear before this committee for a transcribed interview to better understand decisions the secretary made relevant to the creation, maintenance, retention, and ultimately deletion of public records,” Gowdy wrote to Clinton attorney David Kendall on Tuesday.Earlier this month, Clinton acknowledged that she sent or received roughly 60,000 related emails, turning over roughly half to the State Department and deleting about the same number of “personal” ones.The South Carolina Republican set a deadline of May 1 for the interview and restated the committee is interested only in the deleted emails relating to Clinton’s response as secretary of state to the 2012 terror attacks on a U.S. outpost in Benghazi, Libya, in which four Americans were killed.“The committee believes a transcribed interview would best protect Secretary Clinton’s privacy, the security of the information queried, and the public’s interest in ensuring this committee has all information needed to accomplish the task set before it,” Gowdy also wrote in the letter.Gowdy suggested Monday that he wants to have ""separate conversations"" with Clinton about Benghazi and the emails, in light of her wiping clean the server.""I need to ask what she did (with the server) and when she did it and importantly why she did it,” he said on Fox News' ""On the Record with Greta Van Susteren.""He also suggested on the show and in the letter that efforts to get Clinton to comply with the requests might require the full weight of the Republican-led House and that he will confer with House Speaker John Boehner about whether another committee will be involved.Clinton has not yet announced a presidential bid.",left
"NJ Gov Chris Christie to Throw His Hat in the Ring for White House RunNew Jersey Governor Chris Christie expected to become the latest Republican to throw his hat in the ring for 2016.The Governor faces an uphill climb for the nomination with low poll numbers, and a fundraising deficit.But don’t write him off.",right
"He may have a personal fondness for her, but Sen. John McCain (R-Ariz.) suggested Thursday that Hillary Clinton’s exclusive use of personal email while serving as secretary of state was hypocritical. “This is the same individual that just excoriated the Bush administration for supposedly hiding communications within the administration,” McCain said on MSNBC’s “Andrea Mitchell Reports.”While serving as a senator from New York in 2007, Clinton criticized the Bush administration for its ""secrecy,"" according to The Hill.Clinton, who is often described as the Democratic presidential frontrunner for 2016, has faced scrutiny since Monday when The New York Times reported that she may have violated federal records law by using a personal email account for all of her work messages as secretary of state.Democrats came to her defense, and other media outlets soon pointed out that the rules against using personal email were not relayed to government officials until 2014.Clinton responded to the controversy on Wednesday, tweeting that she had asked the State Department to make her private emails publicly available.While on Mitchell's show, McCain also raised the concern that there's no way of knowing if all of Clinton's emails have been saved, since they were not originally retained by the government.""The question that I think's gonna rise over time is, how can we be confident that once she carries out what she tweeted -- that she wants all the emails known -- how are we gonna know that?",right
"Chris Christie Announces He's Running For President In 2016New Jersey Gov. Chris Christie (R) announced he's running for president in 2016.Christie told supporters of his plans in a phone call Tuesday morning, according to NBC and the AP.Christie made a public announcement Tuesday afternoon at Livingston High School, his alma mater, in Livingston, New Jersey.""I am now ready to fight for the people of the United States of America,"" Christie said at the public announcement.He praised his home state during his speech, sharing how working as governor inspired him to run for president.""Both parties have failed our country... both parties have led us to believe that America, a country that was built on compromise -- that compromise is somehow a dirty word,"" Christie said.""We need to have the courage to choose, we need to have the courage to stand up and say 'enough,'"" Christie added.Christie, a tough-talking former federal prosecutor whose reputation for political bullying was reinforced by a George Washington Bridge lane-closing scandal last year, has served as New Jersey governor since January 2010, winning election twice in a state where Democrats greatly outnumber Republicans.He notably led the state during catastrophic damage from Hurricane Sandy in 2012.Christie focused on his state rather than the presidential election that took place days after New Jersey's shore was ravaged by the storm.In an October 2012 interview with Fox News, Christie said he didn't ""give a damn about presidential politics"" in the wake of the storm.""I have got a job to do here in New Jersey that is much bigger than presidential politics.Christie was elected chairman of the Republican Governors Association in November 2013.While serving as chair of the governors association, Christie held prep sessions on foreign policy with officials, business leaders and academics in an attempt to ready himself for a White House run, according The Associated Press.Known for his blunt speaking style, Christie has acknowledged that he can come off brash and confrontational.""I'm not everybody's cup of tea, but I'm not in this business to get elected to prom king.His image suffered a major blow in 2014, when it was revealed members of his administration, including his deputy chief of staff, were involved in a plot to cause traffic jams near the George Washington Bridge to retaliate against a mayor who hadn't supported Christie's 2013 re-election.Christie has also faced criticism for reversinghis position recently on Common Core education standards.According to HuffPost Pollster, Christie is in the middle of the pack of GOP presidential candidates.",left
"WASHINGTON -- The House Select Committee on Benghazi sent a formal interview request to Hillary Clinton’s lawyer on Tuesday regarding emails she exchanged during her time as secretary of state.In a letter to the Clinton’s lawyer, Rep. Trey Gowdy (R-S.C.), the committee chairman, said the committee is not interested in emails relating to personal or private matters, and instead will focus solely on those pertaining to “Libya and Benghazi during the relevant time periods.”“Toward that end and because of the Secretary’s unique arrangement with herself as it relates to public records during and after her tenure as Secretary of State, this Committee is left with no alternative but to request Secretary Clinton appear before this Committee for a transcribed interview to better understand decisions the Secretary made relevant to the creation, maintenance, retention, and ultimately deletion of public records,” Gowdy stated in the letter.Gowdy set a May 1 deadline for the interview.An interview, Gowdy argued, would provide protection for the likely 2016 presidential candidate’s privacy and security for sensitive information.The request comes after reports revealed Clinton used a private email address and a server located in her New York home during her time as secretary of state.Gowdy said once Clinton is interviewed and all documents related to the 2012 Benghazi attack are shared, the committee will schedule a time for Clinton to testify publicly in a hearing.“We share the Secretary’s desire these two conversations take place as quickly and efficiently as possible, and are willing to expedite both working with your office, the Secretary’s schedule and our Democrat colleagues on the Committee,” Gowdy said.Gowdy went on to call Clinton’s email situation “highly unusual, if not unprecedented,” and said it “exacerbates” lawmakers’ needs to “understand what the Secretary did.”Earlier this month, Clinton said she had a private email account because she “thought it would be easier to carry just one device for my work and for my personal emails instead of two.”She admitted that “looking back,” it would have been better to carry the second phone.Clinton is not the only government official to use a private email for work.",center
"Democratic presidential hopeful Hillary Clinton encouraged President Barack Obama on Sunday to listen to House Minority Leader Nancy Pelosi (D) on trade.Pelosi took to the House floor Friday to oppose trade legislation Obama had personally lobbied for on Capitol Hill earlier that day.“We have an opportunity to slow down,” Pelosi said.At a rally in Iowa, Clinton said that if the president can't come to terms with Pelosi, there should be no deal.Clinton said she wants to ""find out what's in it and make it as good as it can be,"" and pushed for more transparency ""so the American people can actually see what will be in a finalized deal.""House Democrats rejected Obama's trade agenda Friday by blocking a measure that would have granted him the power to fast-track sweeping, secretive international agreements through Congress.Clinton refrained from mentioning trade in her official campaign kickoff speech that took place at New York City's Roosevelt Island on Saturday.However, Clinton appeared to suggest she would seek to negotiate the trade agreement as president.""No president would be a tougher negotiator on behalf of American workers, either with our trading partners or Republicans on Capitol Hill, than I would be,"" she said.",left
"WASHINGTON — As State Department lawyers sifted last summer through a new batch of documents related to the Benghazi attacks, they repeatedly saw something that caught their attention: emails sent to and from a personal account for Hillary Rodham Clinton.The lawyers, according to current and former State Department officials, were working to respond to a request from a specially appointed House committee investigating the 2012 attacks in Libya.“This all raised the question to us: What else are we missing, and what do we need to comply” with the request, said one official briefed on the matter.Mrs. Clinton’s spokesman and the State Department have cast her decision to hand over her emails as motivated by efforts to update the department’s record management system.But it was the review of Benghazi-related documents last summer that, within the State Department, set off the chain of events leading to the public disclosure this week of Mrs. Clinton’s use of a private email account, according to the current and former department officials.The decision to ask Mrs. Clinton for her emails went all the way to Secretary of State John Kerry’s chief of staff, who, along with officials working on the response to the Benghazi requests, signed off on it.Beginning in August, senior State Department officials held negotiations with Mrs. Clinton’s lawyers and advisers to gain access to her personal email records.In October, the State Department sent a letter to Mrs. Clinton and all former secretaries of state back to Madeleine K. Albright, seeking emails and other documents in their possession that related to their government work.Finally, in December, dozens of boxes filled with 50,000 pages of printed emails from Mrs. Clinton’s personal account were delivered to the State Department.Three weeks ago, the State Department handed over the Benghazi emails to the House Select Committee on Benghazi, which is led by Representative Trey Gowdy, Republican of South Carolina.Mrs. Clinton’s spokesman, Mr. Merrill, did not respond to an email seeking comment.Late Wednesday night, two days after The New York Times first reported that she had exclusively used a personal email account as secretary of state, Mrs. Clinton announced that she had asked the State Department to release those communications.“I want the public to see my email,” Mrs. Clinton wrote in a Twitter post shortly before midnight, addressing the issue publicly for the first time.Mrs. Clinton’s decision leaves it to the State Department to determine whether parts of her correspondence should be redacted if they contain information that could be damaging to national security, or for other reasons.That process could take several months, officials said, because different parts of the State Department must weigh in on whether information should be redacted.While the State Department has said there does not appear to be any classified material in Mrs. Clinton’s emails, officials said on Thursday that they needed to go through the trove again to determine whether it contained any “sensitive” information.Sensitive information is different from classified information.One State Department official said that if many lawyers were dedicated to the project, it could be completed in several weeks.Since the disclosure that Mrs. Clinton used the private account, a spokeswoman for the State Department has described the request from Mrs. Clinton as part of the department’s larger efforts to improve its record-keeping.“The letter actually went before we got the request from the select committee,” Ms. Harf said of the request to the former secretaries.Ms. Harf said that Mrs. Clinton was the only secretary of state who had sent back copies of emails.",center
"Former Secretary of State Hillary Clinton used a personal email account to exclusively conduct official business during her time at the State Department, a move that raises questions about access to the full archive of her correspondence, as well as the possibility that she violated federal law requiring official messages to be retained for the record.The existence of the account was discovered by the House select committee investigating the deadly 2012 attacks on the U.S. Consulate in Benghazi, Libya, and was first reported by The New York Times.Clinton did not even have a government email address during her tenure as America's top diplomat, which lasted from 2009 to 2013, and The Times reports that her aides took no action to preserve her emails on department servers, as required by the Federal Records Act.Instead, the paper reports, Clinton's advisers selected which of her emails to turn over to the State Department for archival purposes after going through tens of thousands of pages of correspondence.It is not clear how many total emails from that period were in Clinton's personal account, nor is it clear how Clinton's advisers decided which emails to hand over to the State Department.Nick Merrill, a Clinton spokesman, said the former secretary of state expected that emails to State Department officials -- which she sent to department accounts -- would be preserved.The fate of emails to foreign leaders, private citizens, and non-State Department officials is unclear.""The State Department has long had access to a wide array of Secretary Clinton's records -- including emails between her and Department officials with state.gov accounts,"" State Department Deputy Spokesperson Marie Harf told Fox News late Monday.According to the Times, however, while past secretaries of state often used personal email, updated regulations required such emails to be preserved.Clinton and her aides reportedly did not follow that requirement at the time -- until her office turned over documents.Republicans seized on the developments on Tuesday.""The use of a personal e-mail address to skirt public records laws, aside from failing to meet the security standards one would expect of the nation's top diplomat, enabled Clinton to shield her official communications from scrutiny by the media and the American public,"" he said.White House Press Secretary Josh Earnest was peppered with questions at Tuesday's briefing.He said the administration policy is that employees ""should use their official email accounts when they're conducting official government business.""Earnest would not say whether the White House believes Clinton broke the law.Records officials interviewed by The Times expressed grave concern over Clinton's practice, saying it represents a severe ethical breach and noting that personal email accounts are far less secure than official ones.Jason Baron, a former director of litigation at the National Archives, told the paper he found it ""very difficult to conceive of a scenario — short of nuclear winter — where an agency would be justified in allowing its cabinet-level head officer to solely use a private email communications channel for the conduct of government business.""However, The Times reports that the imposition of penalties for not complying with federal record-keeping requirements are rare because the National Archives has so few enforcement mechanisms.The report has drawn heavy criticism from Republicans, including at least one potential challenger in the 2016 presidential race.Clinton is widely believed to be the front-runner for the Democratic nomination in 2016.",center
"DES MOINES – Hillary Rodham Clinton on Sunday urged President Obama to listen to congressional Democrats – particular the House minority leader, Nancy Pelosi – and make changes to the Trans-Pacific Partnership trade deal that reflect their concerns about protecting American jobs and wages.In her first detailed comments on the trade deal since the House of Representatives refused on Friday to allow Mr. Obama to negotiate it freely, Mrs. Clinton laid out a far more calibrated position on the deal than many Democrats and Republicans have taken.She argued that the House vote gave Mr. Obama “this amazing opportunity” to seek concessions from Pacific trading partners to salvage the deal.“The president should listen to and work with his allies in Congress, starting with Nancy Pelosi, who have expressed their concerns about the impact that a weak agreement would have on our workers to make sure we get the best, strongest deal possible,” Mrs. Clinton said at a rally here.“And if we don’t get it, there should be no deal,” she added.Mrs. Clinton indicated that if she were president, she would not abandon the 12-nation Pacific trade deal – as some Democrats want – but would use the opposition in Congress as negotiating leverage.“I am willing to try now to see whether you can push to get rid of the objectionable parts, to drive a harder bargain on some of the other parts,” Mrs. Clinton said at the rally, her first here as a candidate for the 2016 presidential nomination.Mrs. Clinton has been criticized by Republicans and some Democrats for saying little about the Trans-Pacific Partnership deal in recent weeks, especially since she had made favorable comments about it as secretary of state.A few hours before Mrs. Clinton’s remarks, Mr. Sanders repeated his challenge to her to oppose the trade agreement.“I would hope that the secretary joins Elizabeth Warren, Sherrod Brown and the vast majority of Democrats in the Congress in saying, ‘No, we have got to defeat this piece of legislation,’ ” Mr. Sanders said on CBS’s “Face the Nation,” referring to fellow senators.Without naming names, Mrs. Clinton sought to distinguish herself from Mr. Sanders and Ms. Warren, as well as from fervent supporters of the deal like some of the Republicans running for president.“No president would be a tougher negotiator on behalf of American workers with either our trading partners or Republicans on Capitol Hill than I would be,” Mrs. Clinton said.Mrs. Clinton invoked Ms. Pelosi’s name twice during her remarks and appeared to agree with Ms. Pelosi that “there are some specifics in there that could and should be changed.”“Let’s take the lemons and turn it into lemonade,” she said.Later on Sunday, at a house party with Democrats in Burlington, Iowa, Mrs. Clinton was more explicit in challenging Mr. Obama by setting expectations for him to work with congressional Democrats on the trade deal.“My view is the White House should call Nancy and a few other of the Democrats to say, ‘What would it take to get an agreement that would be better and not worse for American workers?’” Mrs. Clinton said, aligning herself with a potential future ally (Ms. Pelosi) over a lame-duck president.“I have held my peace because I thought it was important for the Congress to have a full debate without thrusting presidential politics and candidates into it,” Mrs. Clinton added.",center
"WASHINGTON — The chairman of the House committee investigating the Benghazi attacks asked Hillary Rodham Clinton on Tuesday to appear for a private interview about her exclusive use of a personal email account when she was secretary of state.Mrs. Clinton’s “email arrangement with herself is highly unusual, if not unprecedented,” the committee’s chairman, Representative Trey Gowdy, Republican of South Carolina, wrote in a letter to Mrs. Clinton’s lawyer Tuesday morning.The emails were on a server at her home in Chappaqua, N.Y. Mr. Gowdy had asked Mrs. Clinton to turn over that server to a neutral third party, like the State Department’s inspector general, to determine which emails were personal and which were government records.But in a letter to Mr. Gowdy on Friday, a lawyer for Mrs. Clinton said there was no need to turn over the server because an examination of it showed that it had no copies of emails she sent during her time as secretary of state.In October, the State Department asked former secretaries of state dating back to Madeleine Albright to provide it with any government records — like emails — they might have in their possession.Since the report by The New York Times on March 2 that Mrs. Clinton used only a personal email account and did not even have a government account, she seems to have provided two answers about whether she still has copies of her emails.At a news conference at the United Nations a little more than a week after The Times’s report, Mrs. Clinton first said she “chose not to keep” her private personal emails.Mr. Gowdy said the committee believed that “a transcribed interview would best protect Secretary Clinton’s privacy, the security of the information queried and the public’s interest in ensuring this committee has all information needed to accomplish the task set before it.”But Mrs. Clinton indicated on Tuesday that she wanted to give her testimony in a public setting.The committee’s ranking member, Elijah E. Cummings, Democrat of Maryland, said the panel should hold a public hearing instead of a private interview.Mr. Gowdy has sought to prevent his inquiry into the attacks in 2012 on an American diplomatic compound in Benghazi, Libya — and its burgeoning examination of Mrs. Clinton’s email practices — from being dismissed as a strictly partisan effort to embarrass a likely Democratic nominee for president.Some Republicans on Capitol Hill — including Mr. Gowdy — are growing frustrated with Reince Priebus, the chairman of the Republican National Committee, who they contend is politicizing the email issue.“I mean, you cannot just destroy documents when an agency is telling you to turn them over,” Mr. Priebus said on “Fox and Friends.”“Even Nixon didn’t destroy the tapes,” Mr. Priebus said, referring to the Watergate scandal that ultimately led to President Richard M. Nixon’s resignation.In an interview Tuesday, Mr. Gowdy said Mr. Priebus had overstepped his expertise.“As far as I know, he’s not an expert in federal record-keeping law,” Mr. Gowdy said of Mr. Priebus.“We don’t know enough facts, so why speculate?” Mr. Gowdy added.",center
"LIVINGSTON, N.J. — Gov. Chris Christie declared an uphill candidacy for president on Tuesday with New Jersey-style swagger, unconcealed disgust for Washington and a high regard for his own candor, vowing that “there is one thing you will know for sure: I say what I mean and I mean what I say.”Relying on his biggest, and perhaps his last, remaining advantage in a field of better-financed and better-liked rivals — his personality — Mr. Christie portrayed himself as the only candidate in the Republican field who is forthright and forceful enough to run the country.“We need strength and decision-making and authority back in the Oval Office,” he said.Pacing the stage without a prepared text and raising his voice to a shout at times, he vowed to campaign and govern as a colorful teller of difficult truths, even if “it makes you cringe every once in a while.”“I am not running for president of the United States as surrogate for being elected prom king of America,” Mr. Christie said inside the gymnasium at the high school where he was president of his class all three years.“I am not going to be the most popular guy who looks into your eye every day and says what you want to hear,” he continued.Trying to claw his way back to the top of the Republican field, Mr. Christie took a pointed swipe at his rivals who are in the United States Senate, like Marco Rubio and Ted Cruz, who have never run a state government.“Unlike some people who offer themselves for president in 2016, you won’t have to wonder whether I can do it or not,” he said, invoking the “economic calamity” he said he inherited in 2010 and the “unprecedented natural disaster,” Hurricane Sandy, that he weathered as governor.But he reserved his deepest disdain for Congress and for the president’s stewardship of foreign affairs, and extended that critique to President Obama’s former secretary of state.“After seven years of a weak and feckless foreign policy run by Barack Obama, we better not turn it over to his second mate, Hillary Clinton,” Mr. Christie said.Still, he blamed both parties for dysfunction and gridlock in Washington.Mr. Christie, whose dazzling rise as a national Republican in his first term was matched only by his spectacular loss of stature at home in his second, entered the presidential race bearing little resemblance to the candidate he once expected to be.The economic recovery he promised has turned into a cascade of ugly credit downgrades and anemic job growth.Three and a half years ago, Mr. Christie seemed such an antidote to all that ailed the Republican brand that senior figures in the party pleaded with him to run for president as a substitute for the eventual nominee, Mitt Romney.But now, a staggering 55 percent of Republican primary voters say that they cannot envision voting for Mr. Christie, according to an NBC-Wall Street Journal Poll.With two pillars of his presidential run — his record and his judgment — looking wobbly, Mr. Christie must now build a campaign around his most raw and prodigious asset: his personality, a magnetic mix of quick-witted charm, insult-trading banter, vulnerability, empathy and effrontery.It was on vivid display Tuesday before hundreds of supporters, including many of Mr. Christie’s oldest friends and most loyal aides.“The lying and stealing has already happened, the horse is out of the barn, we need to get it back in, and the only way to do it is by force,” he said.Mr. Christie, 52, honed his political technique, and developed a YouTube following, during a remarkable run of 137 town-hall-style meetings across New Jersey.Such single-mindedness belies the serious and stubborn vulnerabilities of his campaign.As a centrist candidate from the Northeast, he would have a difficult path to the Republican presidential nomination under the best circumstances.At his announcement, Mr. Christie sought political rebirth, as he has before, by relying on his powers as a narrator, and mythologizer, of his own story.Running for president is a new and bigger stage, though, and both Mr. Christie’s stagecraft and his oratory showed room for improvement.Without a text, Mr. Christie frequently descended into clichés.But he also spoke with emotional power, as when he recalled his father’s early job in an ice cream factory in Newark.“Think about how amazing this country is,” Mr. Christie said.The question for Mr. Christie, after a bruising year of watching his story rewritten by others, may be whether Republican voters, who can choose from among a long and intriguing list of fresher faces, will give him a fighting chance to sell himself anew.",center
"New York – In his first major foreign policy speech since launching his presidential campaign, U.S. Sen. Marco Rubio said if elected, he would prioritize a strong military, take aggressive steps to fight nations that undermine global commerce and ensure that U.S. is a world moral leader.The Florida Republican, who delivered his speech at the Council on Foreign Relations in Manhattan on Wednesday, said that the United States was losing its place as a world military and moral power because of what he depicted as the Obama administration’s overly cautious responses to crises overseas.“Since the end of the Cold War, the threats facing America have changed, but the need for American strength has not,” Rubio said.“It takes forethought to design and many years to build the capabilities we may need at a moment’s notice,"" the 43-year-old said.Rubio repeated his characterization of Obama as a president so concerned with softening any perception other nations has of the United States as a bully that he erred in acting in the other extreme, eager to acquiesce to foreign governments that have thumbed their noses at the U.S. and international laws.“[Obama] demonstrated a disregard for our moral purpose that at times flirted with disdain,” said Rubio, the son of Cuban immigrants.Rubio also said that the United States must move decisively when aggressive nations such as China and Iran attempt to undermine the economic interests of the United States as well as other nations.""Russia, China, Iran or any other nation that attempts to block global commerce will know to expect a response from my administration.”The Democratic National Committee issued a brief statement shortly after Rubio's speech:“Okay. So here’s Rubio’s alleged ‘new’ foreign policy.And it ended with: “Neoconservative meets Cold War: that’s the Rubio doctrine.”Rubio’s foreign policy agenda – often hawkish in approach – has been a hallmark of his service in the Senate, and now in his campaign.Rubio said Obama ""wasted no time stripping parts from the engine of American strength,"" and cast former Secretary of State Hillary Clinton as his loyal deputy.""[Clinton] was the chief architect of a foreign policy that was a disaster,"" he said during an interview with Charlie Rose following the speech.""We simply cannot afford to elect as our next president one of the leading agents of this administration's foreign policy — a leader from yesterday whose tenure as secretary of state was ineffective at best and dangerously negligent at worst,"" Rubio said, according to the prepared text of remarks he was to deliver at the Council on Foreign Relations in New York.He even has taken tougher stances on foreign policy than some of his Republican colleagues, who have softened their views on diplomatic relations with Cuba – to which Rubio objects – and how to handle the nuclear talks with Iran.Some in the GOP have called for spending cuts in military spending, with which he disagrees.As he often has in Senate hearings, Rubio assailed Obama for stressing dialogues and diplomacy over ironclad dealings with heads of foreign governments that have been openly hostile to the United States, and which continue to exercise oppression against political dissidents.“The world is at its safest when America is at its strongest,” Rubio said.Rubio said, after his speech, in a question-and-answer session with TV host Charlie Rose, that ""Obama has embraced regimes that systematically opposed our principles.""Rose asked Rubio what he though of Pope Francis's embrace of diplomatic relations between the U.S. and Cuba.Rubio said his priorities and those of the pope's are by necessity different.He defended keeping the embargo.He said having anything to do with Cuba is to avail oneself of properties stolen from Cubans by the Cuban government during the revolution.Rubio said the embargo is not to blame for Cuba's failed economy.He said the rest of the world does not have an embargo against Cuba.As for Iran, Rubio said it cannot be trusted.""Iran has always had a secret component to its nuclear program,"" he said.",left
"Arkansas Gov. Asa Hutchinson (R) signed a revised version of the state's Religious Freedom Reformation Act on Thursday, one day after refusing to sign an earlier version of the bill over concerns about discrimination against lesbian, gay, bisexual and transgender individuals.Earlier Thursday, the Republican-controlled state legislature passed a new version of the bill at the governor's request, amending provisions that would have allowed businesses to discriminate against LGBT customers.Meanwhile, legislators in Indiana have made changes to the controversial RFRA signed into law by Gov. Mike Pence (R) last week.In a Wednesday press conference announcing his opposition to the initial version of the bill, Hutchinson said his son had asked him to veto the legislation.""My son Seth signed the petition asking me, Dad, the governor, to veto this bill,"" he said.Hutchinson also faced pressure from Walmart, which is headquartered in the state.",right
"Washington Gov. Jay Inslee (D) announced Monday that he would ban state-funded travel to Indiana, where a controversial new law could allow businesses to deny service to gay and lesbian individuals for religious reasons.“I find Indiana’s new law disturbing, particularly at a time when more and more states and people in America are embracing civil rights for everyone,"" Inslee said in a statement.In his statement, Inslee cited the case of a Washington-based florist who was recently ordered to pay a fine for discriminating against a gay couple who sought her services.""We in Washington stand for equality,"" he said.Earlier Monday, Connecticut Gov. Dan Malloy (D) took a similar stand against the Religious Freedom Restoration Act, signed into law by Indiana Gov. Mike Pence (R) at a private ceremony last week.In addition to Connecticut and Washington, San Francisco and Seattle have also imposed bans on city-funded travel to the state.The cities and states are joined by a number of business leaders speaking out against the law.""Regardless of the original intention of the Religious Freedom Restoration Act, we are deeply concerned about the impact it is having on our employees and on the reputation of our state,"" reads the letter.Pence has defended his decision to sign the bill, claiming that the measure has been ""grossly misconstrued as a 'license to discriminate.'""""I abhor discrimination.However, the governor and legislative leaders say they will seek to clarify that the law does not protect discrimination.“It is not the intent of the law to discriminate against anyone, and it will not be allowed to discriminate against anyone,” state Senate President Pro Tem David Long (R) said.",left
"Former Arkansas Gov. Mike Huckabee announced Tuesday he is running for president, delivering an economy- and security-centered message that he hopes will appeal to everyday Americans and distinguish him from the already-crowded Republican field.Huckabee, who is embarking on his second presidential run, made the announcement in his hometown of Hope, Ark.“Folks cannot seem to get ahead or even stay even,” he said.Huckabee, a former Baptist minister, ran for president in 2008, winning eight states including the first-in-the-nation Iowa caucuses before running out of money and exiting the race.“Folks, it’s a long way from a little brick rented house on Second Street in Hope, Arkansas, to the White House,” he said.The 59-year-old Huckabee has a strong following among the party’s evangelical Christian base but this time will face stiff competition for that vote from such primary candidates as Dr. Ben Carson and Sen. Ted Cruz, of Texas.He frequently repeated the phrase, “Hope to higher ground,” which appears to be a slogan of sorts for his 2016 campaign.He also took a swipe at President Obama for declining to recognize the Islamic State group as radical Islamic terrorists and vowed to stop them.""I wonder if he can watch a Western from the '50s and be able to figure out who the good guy and the bad guys really are,"" Huckabee said.He also vowed to protect Medicare and give states more of a say in government and education.Huckabee, who left his job as a Fox News host earlier this year in preparation for a potential 2016 run, was Arkansas governor from 1996 to 2007, serving after Bill Clinton, who also is from Hope.Even before the speech, Huckabee was trying to position himself as the GOP candidate best equipped to defeat Hillary Clinton, the Democratic frontrunner.In a recent campaign video, Huckabee argued that in his more than 10 years as governor, he took on Democrats in ""Bill Clinton's Arkansas"" after then-candidate Bill Clinton won election to the White House in 1992.""Every day in my life in politics was a fight,"" Huckabee says in the video, released as a preview of his Tuesday announcement.The field of confirmed and potential GOP presidential candidates includes more than a dozen people.A new NBC/ Wall Street Journal poll of GOP primary voters shows 23 percent picked former Florida Gov. Jeb Bush as their first choice.Bush is followed in the poll by Florida Sen. Marco Rubio with 18 percent, Wisconsin Gov. Scott Walker with 14 percent, Cruz and Kentucky Sen. Rand Paul with 11 percent, Carson with 7 percent, Huckabee and New Jersey Gov. Chris Christie at 5 percent, former Texas Gov. Rick Perry at 2 percent and former Hewlett-Packard chief executive Carly Fiorina at 1 percent.Huckabee is the third Republican this week to announce a 2016 White House bid, following Fiorina and Carson, a retired neurosurgeon They join Cruz, Paul and Rubio.Campaign aides say Huckabee’s path to winning the party nomination this time will be to appeal to working-class cultural conservatives, pitching their candidate as an economic populist and foreign affairs hawk who holds deeply conservative views on social issues such as abortion and gay marriage.Huckabee advocates a national consumption tax, which is similar to a sales tax, to replace the existing federal taxes on personal income and payrolls.On immigration, he insists on a secure border and bemoans the presence of millions of people who are living in the country illegally, though he favors a creating a path to citizenship for children of immigrant parents who brought them to the U.S. illegally.Like other Republican White House hopefuls, Huckabee is sharply critical of Obama's foreign policy.But whatever the issue, Huckabee, also an author, wraps his appeal as a pitch to everyday Americans who he says ""don't feel like anybody understands or knows who they are, much less cares what's happening to them.""Evangelical Christian voters helped Huckabee win the Iowa caucuses in 2008 and finish a strong second in South Carolina, the largest of the early-voting states.He would need to replicate that early success to create an opening to build a wider coalition and compete deep into the primary schedule.",left
"Hillary and Bill Clinton earned roughly $141 million and paid nearly $44 million in federal income taxes from 2007 to 2014, according to tax returns released Friday.The former secretary of state and Democratic presidential candidate released the tax returns on her campaign website, along with her health records and a list of paid speeches she and her husband gave.Last year, the Clintons paid an effective federal tax rate of 35.7 percent and donated over 10 percent of their income to charity.""We’ve come a long way from my days going door to door for the Children’s Defense Fund and earning $16,450 as a young law professor in Arkansas—and we owe it to the opportunities America provides,"" Clinton said in a statement accompanying the returns.The Clintons have previously released their tax returns dating back to 1977.Clinton's release comes about one month after Republican presidential candidate Jeb Bush released 33 years of returns, showing his net worth between $19 and $22 million.In May, Hillary Clinton filed a disclosure with the Federal Elections Commission showing the couple had earned approximately $30 million from book sales and speeches in 2014 and the first four months of 2015.",right
"Mike Huckabee, a former Republican governor of Arkansas and preacher who has announced his run for the presidency on Tuesday, has been outspoken on a range of matters, particularly foreign policy and social issues like same-sex marriage.Mr. Huckabee warns that radical Islam is a grave threat to the United States and says President Obama too frequently defends Islam.A strong defender of Israel, he has been sharply critical of Mr. Obama’s treatment of Prime Minister Benjamin Netanyahu, and said a proposed nuclear deal with Iran is “terrible” because Iran cannot be trusted.As governor of Arkansas in 2002, he called for lifting the economic embargo of Cuba, which would have helped rice farmers in his state.In 2007 Mr. Huckabee was quoted as saying, “Climate change is here, it’s real.” But more recently he has minimized it as a threat, and said he opposes “cap and trade” legislation meant to curtail carbon emissions.Mr. Huckabee opposes same-sex marriage, suggesting as recently as February that homosexuality is a lifestyle choice akin to drinking or swearing.Mr. Huckabee said Mr. Obama exceeded his authority by issuing executive actions shielding millions of undocumented immigrants from deportation.Mr. Huckabee has focused his economic message on what he calls wage stagnation under Mr. Obama.Unlike other Republican candidates, Mr. Huckabee is a strong defender of entitlement programs, opposing plans to raise the retirement age for collecting Social Security and criticizing plans to curtail Medicare.",center
